gender,age,income,education,credit_score,employment_years,loan_amount,loan_approved
Male,68,55853,Bachelor,653,1,153159,1
Female,64,59128,Bachelor,604,39,322846,0
Male,64,91644,Master,849,37,30428,1
Male,21,50595,Bachelor,839,17,472249,1
Male,24,38981,Bachelor,808,4,164226,1
Female,62,19702,Bachelor,694,39,97045,0
Male,52,32070,High School,730,5,242012,1
Male,65,68530,Bachelor,476,11,260739,0
Male,26,60798,PhD,705,11,442963,1
Female,25,29750,PhD,600,11,112369,0
Male,69,86963,Bachelor,744,8,39349,1
Male,62,54901,High School,426,21,205565,0
Male,34,56904,High School,648,15,42358,1
Male,34,83663,Bachelor,320,3,57484,0
Female,66,76091,Master,719,2,216521,0
Male,50,61717,Bachelor,451,15,55837,0
Female,49,62438,Master,459,13,80333,0
Female,25,63841,Bachelor,779,37,274675,1
Female,36,46385,High School,742,3,18825,0
Male,55,54301,High School,395,1,462244,1
Female,20,58614,High School,651,9,339591,0
Male,22,48098,Bachelor,374,10,430532,0
Female,30,35518,High School,658,38,338411,0
Female,64,46008,Bachelor,432,25,284423,0
Female,63,35181,Bachelor,699,36,118094,0
Female,48,50965,High School,438,25,378903,0
Female,33,23293,High School,545,3,180295,0
Female,67,55115,High School,590,25,226024,0
Female,49,25530,Bachelor,411,37,164072,0
Female,39,43947,Bachelor,469,27,410261,0
Male,46,57561,High School,539,1,449714,1
Male,39,61867,Master,636,1,303443,1
Female,60,60085,Bachelor,437,15,212274,0
Female,20,54796,Bachelor,535,22,416461,0
Female,27,33210,Bachelor,302,22,234174,0
Male,59,64709,Master,415,12,425555,0
Female,38,33553,Bachelor,771,20,206460,1
Male,33,66418,Bachelor,430,38,349094,0
Male,29,59415,High School,782,24,199891,1
Male,19,70383,Bachelor,700,36,478033,1
Male,58,50373,Bachelor,500,12,394031,1
Male,41,37718,Bachelor,591,14,119074,0
Female,52,30610,Master,641,27,117691,0
Female,47,32276,Master,515,2,426247,0
Female,47,25448,High School,665,22,152698,1
Female,64,64130,High School,768,3,28302,1
Female,52,66011,High School,717,2,116277,1
Male,36,58305,Bachelor,326,38,182763,0
Female,67,49504,High School,754,7,428328,1
Female,25,80914,High School,313,24,260450,0
Male,43,48527,High School,397,11,338191,0
Female,66,53313,High School,578,4,108812,0
Male,57,49282,High School,789,32,206276,1
Female,24,44925,High School,506,24,404303,0
Male,47,59464,Bachelor,532,24,208623,1
Female,24,40497,High School,538,34,233027,0
Female,20,39491,High School,549,14,133407,0
Male,18,60222,Master,605,25,372110,1
Male,53,42535,Master,762,9,429530,1
