gender,age,education_level,income,employment_status,city,credit_score,experience_years,loan_amount,hired,loan_approved
Male,28,Masters,128743.0,Employed,Metropolis,818.0,0,28105,No,Yes
Female,53,Bachelors,121190.0,Employed,Metropolis,771.0,29,39278,No,Yes
Female,40,High School,81715.0,Employed,Metropolis,649.0,18,37995,Yes,Yes
Female,27,Bachelors,37466.0,Employed,Metropolis,343.0,2,12825,Yes,No
Male,41,Bachelors,47637.0,Employed,Gotham,364.0,14,33054,Yes,No
Male,48,Bachelors,160424.0,Self-Employed,Metropolis,545.0,23,53694,Yes,No
Male,58,Masters,98745.0,Unemployed,Star City,370.0,40,51178,Yes,No
Female,28,Masters,66317.0,Employed,Star City,457.0,0,26788,No,No
Female,26,Masters,164150.0,Employed,Gotham,774.0,8,23077,Yes,Yes
Female,32,Masters,188371.0,Employed,Metropolis,324.0,15,69198,No,Yes
Male,36,High School,33543.0,Employed,Star City,522.0,12,41013,Yes,No
Female,24,PhD,152790.0,Employed,Central City,459.0,3,81694,Yes,Yes
Female,26,Masters,81052.0,Self-Employed,Metropolis,374.0,0,96341,Yes,No
Male,44,PhD,52064.0,Employed,Star City,437.0,23,62849,Yes,No
Male,58,High School,102287.0,Employed,Star City,778.0,40,47834,Yes,Yes
Male,30,PhD,110442.0,Self-Employed,Gotham,,13,85563,Yes,Yes
Male,36,Masters,150550.0,Employed,Metropolis,686.0,11,42925,Yes,Yes
Male,24,Masters,44425.0,Self-Employed,Gotham,771.0,0,32295,Yes,Yes
Male,50,High School,81481.0,Employed,Gotham,633.0,26,38253,No,No
Male,27,Masters,107347.0,Employed,Gotham,608.0,6,83457,No,No
Female,38,PhD,102317.0,Self-Employed,Central City,827.0,18,56853,No,Yes
Male,47,Masters,80530.0,Employed,Star City,839.0,24,27189,No,Yes
Male,42,Bachelors,111099.0,Self-Employed,Metropolis,462.0,27,53154,Yes,Yes
Male,29,PhD,55888.0,Self-Employed,Gotham,354.0,7,92423,Yes,Yes
Male,42,Bachelors,188563.0,Employed,Gotham,754.0,18,99646,Yes,Yes
Female,32,Bachelors,193424.0,Employed,Metropolis,604.0,12,15183,No,Yes
Male,59,Bachelors,182748.0,Employed,Metropolis,401.0,39,29023,Yes,No
Male,29,PhD,95836.0,Self-Employed,Central City,687.0,3,18957,No,Yes
Female,45,High School,,Employed,Gotham,507.0,19,26620,Yes,Yes
Male,56,Bachelors,140478.0,Employed,Metropolis,614.0,27,14491,No,Yes
Female,35,Masters,78990.0,Employed,Metropolis,348.0,11,48728,Yes,No
Male,35,Masters,116544.0,Employed,Gotham,817.0,17,74650,Yes,Yes
Male,31,Bachelors,93627.0,Self-Employed,Gotham,447.0,11,44567,No,No
Female,33,PhD,181293.0,Self-Employed,Metropolis,510.0,15,13387,Yes,Yes
Female,59,PhD,158345.0,Unemployed,Gotham,671.0,34,26025,No,No
Female,55,High School,102843.0,Employed,Metropolis,346.0,32,11446,Yes,No
Male,31,Bachelors,59251.0,Employed,Metropolis,798.0,1,36610,No,Yes
Male,38,High School,104418.0,Employed,Gotham,454.0,20,46981,Yes,Yes
Female,38,Bachelors,82620.0,Employed,Metropolis,529.0,21,39309,No,No
Male,24,Bachelors,,Employed,Star City,599.0,0,69388,Yes,No
Male,52,PhD,167041.0,Self-Employed,Metropolis,457.0,36,40434,No,No
Male,22,Masters,43162.0,Self-Employed,Gotham,546.0,0,44226,Yes,No
Male,33,Bachelors,95435.0,Self-Employed,Metropolis,450.0,6,80834,No,No
Female,25,High School,148504.0,Self-Employed,Metropolis,598.0,1,28406,No,Yes
Male,34,Bachelors,104667.0,Self-Employed,Star City,353.0,14,44716,Yes,No
Female,55,Bachelors,158658.0,Employed,Gotham,522.0,32,32989,Yes,No
Male,42,Bachelors,35037.0,Self-Employed,Star City,766.0,17,52580,Yes,Yes
Male,43,Masters,90526.0,Employed,Gotham,785.0,23,55731,Yes,Yes
Male,25,PhD,117914.0,Employed,Gotham,743.0,5,87541,Yes,Yes
Male,39,Bachelors,175765.0,Employed,Star City,,16,16861,No,No
Female,26,Masters,122162.0,Employed,Gotham,591.0,2,50039,Yes,No
Female,40,Bachelors,89090.0,Employed,Gotham,509.0,15,20353,Yes,No
Female,23,Masters,163523.0,Employed,Star City,510.0,2,25630,No,Yes
Female,33,Bachelors,95560.0,Employed,Central City,687.0,4,74050,Yes,Yes
Female,38,Bachelors,167034.0,Self-Employed,Metropolis,695.0,12,69101,Yes,Yes
Female,31,PhD,119552.0,Self-Employed,Gotham,423.0,8,80254,Yes,Yes
Male,55,Bachelors,46444.0,Employed,Metropolis,423.0,29,26907,Yes,Yes
Male,27,Masters,70443.0,Employed,Metropolis,367.0,6,14484,Yes,No
Male,29,Bachelors,,Employed,Gotham,774.0,7,33194,No,Yes
Male,32,High School,199456.0,Employed,Star City,657.0,19,33886,Yes,Yes
Male,33,Bachelors,127229.0,Employed,Gotham,755.0,7,18537,No,Yes
Male,30,Bachelors,142314.0,Unemployed,Star City,645.0,7,33399,Yes,No
Female,23,Masters,54248.0,Employed,Metropolis,820.0,0,99191,No,Yes
Male,29,Bachelors,157521.0,Employed,Gotham,797.0,14,16892,Yes,Yes
Male,32,Masters,98008.0,Employed,Central City,627.0,16,50544,Yes,Yes
Male,57,Masters,90309.0,Employed,Metropolis,629.0,28,29267,Yes,Yes
Male,31,Masters,73237.0,Employed,Metropolis,726.0,8,50396,Yes,Yes
Female,42,Bachelors,156967.0,Employed,Gotham,742.0,20,41340,No,Yes
Male,41,PhD,196804.0,Unemployed,Star City,394.0,17,53404,No,No
Female,29,Bachelors,,Employed,Gotham,750.0,5,46228,Yes,No
Female,57,Bachelors,113230.0,Employed,Gotham,616.0,38,61736,No,No
Male,50,Bachelors,,Employed,Gotham,786.0,35,84884,Yes,Yes
Male,33,Bachelors,64980.0,Employed,Metropolis,304.0,14,25637,No,No
Female,35,High School,,Employed,Star City,670.0,16,86760,No,Yes
Female,42,Masters,39554.0,Employed,Metropolis,487.0,18,56180,No,No
Female,43,Bachelors,121049.0,Employed,Metropolis,325.0,25,65699,No,No
Female,42,Bachelors,192057.0,Employed,Gotham,461.0,24,76843,Yes,Yes
Male,51,Masters,78167.0,Employed,Star City,429.0,27,91172,Yes,No
Male,41,Bachelors,97238.0,Employed,Star City,832.0,18,87962,Yes,Yes
Male,45,Bachelors,,Employed,Star City,709.0,16,25580,Yes,No
Female,44,Bachelors,183291.0,Employed,Metropolis,372.0,16,78388,Yes,Yes
Female,28,Masters,165343.0,Employed,Metropolis,532.0,4,61376,Yes,Yes
Male,30,Bachelors,57397.0,Employed,Metropolis,405.0,3,46212,Yes,Yes
Male,22,Bachelors,104491.0,Employed,Star City,308.0,3,75220,Yes,No
Male,47,Bachelors,59602.0,Employed,Star City,349.0,24,57404,Yes,No
Male,59,Masters,84471.0,Employed,Central City,821.0,39,60403,Yes,Yes
Female,59,Masters,127081.0,Employed,Metropolis,741.0,32,36247,No,Yes
