gender,age,income,education,credit_score,employment_years,loan_amount,loan_approved
Male,26,66009,Bachelor,475,33,442423,0
Female,53,27521,High School,784,37,152010,1
Male,23,39882,PhD,612,19,365627,0
Male,41,49664,High School,621,32,317700,1
Male,43,34555,High School,404,7,84222,0
Female,51,46435,High School,572,25,191172,0
Male,18,62070,High School,814,35,489221,1
Male,40,47932,Master,711,34,35909,1
Male,34,58072,Bachelor,333,9,308250,0
Female,53,56206,High School,744,38,222437,1
Male,54,62247,Bachelor,827,9,39924,1
Male,67,60135,Bachelor,472,29,310358,0
Male,62,58657,Master,420,10,80642,0
Male,37,64384,High School,798,24,438394,1
Female,43,69311,Bachelor,674,39,329322,1
Male,28,48875,High School,398,11,306031,0
Female,37,45071,Bachelor,561,38,157505,1
Female,18,70326,High School,794,0,453489,1
Female,61,42679,High School,704,4,193096,0
Male,30,59878,Master,405,30,80609,1
Female,53,31575,High School,826,18,372415,1
Male,61,40107,High School,421,1,407702,0
Female,55,68591,Bachelor,328,26,340438,0
Female,30,60562,Bachelor,500,12,203222,0
Female,31,69358,Bachelor,844,22,51623,1
Female,29,37885,Master,377,9,356544,0
Female,69,54746,Master,429,27,139908,0
Female,51,59789,High School,771,9,302273,0
Female,44,30470,Bachelor,362,24,286578,0
Female,29,36135,Bachelor,519,37,342735,0
Male,55,44709,Bachelor,403,3,27943,0
Male,53,40491,Master,439,10,90123,0
Female,18,66407,Bachelor,529,7,272791,0
Female,43,35045,High School,405,22,143857,0
Female,57,52464,PhD,557,28,343586,1
Male,57,76517,High School,363,2,428547,1
Female,38,39757,High School,428,3,34389,0
Male,49,67661,Bachelor,355,39,179351,1
Male,42,40554,High School,712,16,460472,1
Male,29,49388,Bachelor,573,38,114866,0
Male,42,15739,High School,335,7,61830,1
Male,43,61159,Bachelor,476,0,307029,0
Female,53,68598,Bachelor,533,21,341410,1
Female,33,62029,Master,718,22,282794,0
Female,31,52784,Bachelor,510,29,118080,0
Female,63,45931,High School,494,6,131471,0
Female,51,52952,Bachelor,516,35,185288,0
Male,66,66230,High School,395,26,101535,1
Female,41,15000,PhD,599,10,196547,0
Female,25,37144,High School,355,2,207915,0
Male,44,59013,High School,823,13,31155,1
Female,56,45385,Bachelor,483,14,364738,0
Male,30,50517,High School,466,14,101231,0
Female,46,66532,PhD,691,32,347027,0
Male,48,54522,High School,322,13,366555,0
Female,60,47160,Bachelor,771,33,472090,0
Female,36,61699,High School,576,31,19249,1
Male,68,58385,Bachelor,825,10,89045,1
Male,27,43428,Bachelor,591,7,205306,0
Male,60,56922,High School,808,20,289039,1
Male,65,50119,High School,319,29,190464,0
Male,57,39856,Bachelor,518,31,19772,0
Male,51,20354,High School,509,25,37635,1
Male,63,44370,High School,522,4,393526,0
Male,66,60843,High School,423,24,314271,1
Female,66,72695,Bachelor,847,14,55232,1
Female,60,46281,High School,316,9,328722,0
Male,18,15000,High School,310,9,76169,0
Female,36,60442,Bachelor,573,38,393550,1
Female,18,50932,Master,405,37,277024,0
Female,41,82205,High School,587,11,200903,0
Female,42,53711,Bachelor,790,32,306368,1
Male,21,53843,Bachelor,514,22,462572,1
Female,41,57271,Bachelor,727,30,71686,0
Male,56,16141,High School,568,0,215897,0
Female,37,65282,Bachelor,313,11,411742,0
Female,50,53426,High School,626,5,317243,0
Female,45,45354,High School,419,15,324345,0
Male,60,78499,Bachelor,422,39,317925,1
Female,62,51605,Bachelor,739,29,247043,0
Male,52,50928,Bachelor,491,15,328340,0
Female,41,53954,Master,745,18,259718,0
Male,57,44995,High School,663,33,239528,1
Female,61,68194,Bachelor,331,23,328359,0
Male,19,55987,Bachelor,785,1,101584,1
Male,40,44525,Bachelor,765,5,353702,1
Female,50,73767,Master,714,30,46717,1
Male,69,43216,Master,550,31,49663,1
Female,31,15000,Bachelor,428,24,12386,0
Female,32,73520,Master,394,19,380379,0
Female,49,35421,Master,433,6,118293,0
Female,40,26108,Bachelor,582,36,342997,1
Female,21,69992,PhD,571,2,174495,0
Female,37,34507,Bachelor,833,5,304805,0
Female,48,62977,Bachelor,342,29,374451,0
Female,24,58775,High School,533,7,284305,1
Female,18,59471,PhD,576,30,241933,0
Female,22,54104,Master,492,12,150212,0
Female,31,49534,High School,444,13,184681,0
Male,47,25652,High School,686,19,359010,0
Male,55,36012,Master,317,19,383162,0
Female,40,66960,High School,428,26,222357,0
Female,24,78962,Bachelor,507,20,124349,0
Female,61,16777,High School,573,5,194000,0
Female,56,57374,High School,695,9,481224,1
Female,67,68438,High School,782,31,385189,1
Female,33,47948,Master,845,23,72101,1
Female,26,17548,Master,477,35,145680,0
Female,56,76085,Master,324,8,320697,0
Male,63,45357,High School,655,37,337558,1
Female,51,29897,Bachelor,786,26,385711,0
Male,48,36162,Bachelor,733,39,258829,1
Female,62,67931,High School,612,16,264102,0
Female,24,48065,High School,587,13,156934,0
Male,68,15000,Bachelor,600,31,67840,0
Female,19,79729,Bachelor,488,31,321594,0
Male,23,57263,High School,651,11,49214,1
Female,61,39756,High School,502,4,282087,0
Female,51,69476,Bachelor,427,7,391932,0
Male,34,39488,High School,385,22,99004,0
Female,43,47423,Bachelor,797,7,210985,0
Male,29,52802,Bachelor,710,3,76202,1
Female,37,55954,PhD,757,17,465727,1
Male,58,59665,High School,766,4,165420,1
Male,63,30724,Bachelor,614,31,319742,0
Female,52,15710,Bachelor,516,14,299397,0
Female,52,65338,Master,714,20,284068,1
Male,46,33904,High School,352,33,336904,0
Female,65,52806,Bachelor,398,17,283129,0
Female,55,63446,High School,635,10,131979,1
Female,48,65580,Bachelor,501,9,178063,1
Male,57,35212,High School,746,10,37357,0
Male,30,37150,Bachelor,609,28,108754,1
Male,43,36493,High School,701,4,203510,0
Male,39,38798,Master,561,16,413717,0
Male,25,53812,High School,560,15,494678,1
Male,57,25405,High School,598,1,418824,0
Male,24,30565,Bachelor,658,21,179669,1
Male,22,47765,Bachelor,595,37,83077,1
Male,69,59522,Bachelor,479,19,106877,1
Female,18,36625,High School,403,21,340554,0
Male,62,45385,High School,335,35,162381,1
Female,57,20752,Master,798,25,101301,1
Female,28,62004,Bachelor,752,16,328991,1
Female,69,57299,Bachelor,355,36,449301,1
Male,49,60736,High School,706,7,220329,1
Male,24,45707,Bachelor,506,28,57298,0
Male,68,44333,High School,757,23,188786,1
Male,46,47225,High School,458,9,128398,1
Female,47,41027,High School,837,31,133978,0
Male,38,56617,Bachelor,406,32,86743,1
Male,56,51512,Master,521,31,106211,0
Male,65,58748,Bachelor,779,17,75832,1
Male,61,48534,High School,635,8,382320,1
Male,60,25433,Master,755,15,190324,1
Female,58,27354,High School,363,13,201992,0
Male,56,32026,Master,480,15,124108,1
Female,37,33205,Bachelor,549,28,326684,0
Male,39,52962,High School,641,37,335981,1
Female,46,22623,Bachelor,812,9,400967,1
Male,63,50436,Bachelor,374,0,293459,0
Male,21,28660,Master,625,23,160400,1
Female,20,49953,High School,737,12,55542,0
Female,26,40186,High School,653,38,337558,1
Female,22,53644,Master,748,15,90842,0
Male,20,52138,High School,455,2,344939,1
Female,42,54316,High School,501,24,357261,0
Male,49,61603,Master,351,22,296760,1
Male,50,33858,High School,770,33,415613,1
Female,35,63049,High School,359,16,209192,0
Female,62,42161,Master,476,29,279078,0
Male,53,66374,Master,773,31,472833,1
Male,67,62231,High School,539,1,8025,1
Female,58,41857,High School,691,35,277656,0
Female,46,75357,Master,649,19,102787,1
Female,56,32771,Bachelor,673,34,373960,1
Male,64,32480,Master,390,38,26698,0
Male,62,56288,Bachelor,605,15,267783,1
Male,19,46636,Bachelor,535,6,72624,0
Male,28,87413,High School,551,26,353917,1
Male,48,59226,Bachelor,600,29,223356,1
Male,21,69393,High School,495,7,477373,1
Female,46,48467,PhD,367,17,20201,0
Male,67,22660,High School,542,14,8565,0
Male,20,25760,Master,484,1,220755,0
Male,19,56833,Bachelor,703,28,279613,1
Female,61,37670,Bachelor,620,17,181188,0
Male,53,41546,Bachelor,718,22,68237,0
Male,31,47997,High School,708,20,348195,1
Female,65,46631,Bachelor,775,2,334011,1
Male,21,42849,Master,762,25,67735,1
Male,61,28261,Master,480,3,29000,0
Male,47,48980,Bachelor,627,3,470907,1
Male,36,37978,High School,433,31,169575,1
Male,36,52888,Bachelor,571,4,369446,1
Female,61,36465,High School,303,34,166523,0
Female,48,62884,High School,376,34,103078,0
Female,32,38824,High School,779,34,201300,1
Male,46,76678,High School,388,31,213197,1
Male,20,23333,Bachelor,421,26,149213,0
Male,36,54994,Bachelor,319,27,481192,0
Female,39,40147,High School,504,32,284131,0
Male,64,40210,Bachelor,500,9,294318,1
Male,37,53501,Master,709,4,137384,1
Female,24,52592,Bachelor,795,12,153826,1
Male,21,47121,High School,840,5,144791,1
Female,18,47280,High School,633,38,61744,0
Female,58,32176,High School,581,24,178301,0
Female,24,60691,High School,372,4,339918,0
Male,39,51289,Bachelor,357,5,25875,1
Male,54,50651,Bachelor,373,16,138385,0
Male,47,48382,Master,390,1,130073,0
Male,26,73601,High School,640,19,334450,1
Male,44,18545,Bachelor,387,27,299222,0
Male,55,41726,Bachelor,624,34,439355,1
