Age,Gender,Race,AnnualIncome,CreditScore,LoanAmount,LoanApproved
28,Female,Asian,28384,838,86715,1
72,Female,Black,103890,845,88727,1
23,Non-Binary,Hispanic,39552,508,96443,0
59,Non-Binary,White,46518,737,10659,1
72,Female,White,131569,763,79099,1
61,Female,Hispanic,93777,490,83323,0
58,Female,White,29777,540,59216,0
35,Male,White,77622,849,20499,1
43,Female,White,128840,407,20810,0
44,Non-Binary,Asian,96466,546,28878,1
67,Non-Binary,Asian,99407,520,75839,0
65,Female,Asian,31316,646,47180,0
49,Non-Binary,Hispanic,144726,379,20943,0
39,Male,Hispanic,41106,360,36853,0
48,Female,Asian,137621,512,32516,1
34,Non-Binary,Hispanic,22558,402,27002,0
32,Female,Other,104490,341,96682,0
29,Male,Other,110326,702,27201,1
47,Male,Asian,57529,742,68879,1
48,Male,Hispanic,90835,717,6770,1
18,Female,Black,116780,384,76896,0
49,Non-Binary,Hispanic,38820,528,91276,0
49,Non-Binary,Other,100635,376,8506,0
49,Non-Binary,Hispanic,74861,592,58222,1
63,Non-Binary,Hispanic,21717,798,26579,1
72,Male,Asian,147961,699,81969,1
21,Non-Binary,Asian,50711,644,6622,0
48,Non-Binary,Hispanic,70891,560,39622,0
71,Male,Black,145364,755,7175,1
18,Female,Black,147920,766,93571,1
23,Female,White,107237,725,78572,0
50,Male,Asian,73379,743,71592,1
73,Male,Black,66545,676,86012,1
36,Male,White,146884,758,37500,1
56,Non-Binary,Black,123356,532,34670,1
19,Male,Other,50137,478,51279,0
71,Male,Black,135911,333,47468,0
65,Non-Binary,Hispanic,48406,309,87414,0
58,Non-Binary,Asian,123174,373,70493,0
23,Non-Binary,Asian,59384,589,81160,0
63,Male,Asian,96330,565,33020,1
29,Male,White,76857,609,34999,1
55,Female,White,122679,637,88142,1
20,Male,Other,149772,652,31758,0
22,Male,Asian,93991,774,93206,0
42,Male,White,83950,398,62148,0
48,Male,Asian,95894,764,25757,1
52,Male,Asian,34191,627,63842,0
54,Female,Black,31007,322,69884,0
59,Male,Black,52343,375,52996,0
61,Male,White,128622,709,44672,1
24,Non-Binary,Asian,29230,322,47191,0
46,Female,Asian,34904,681,84117,1
34,Non-Binary,Hispanic,93519,528,68881,0
44,Male,White,100207,637,35022,1
26,Non-Binary,Hispanic,136331,547,24087,1
18,Non-Binary,Other,117931,558,68870,0
31,Male,Other,143997,627,28375,1
32,Female,Hispanic,148728,603,87671,1
50,Non-Binary,White,146189,522,98058,1
38,Male,Other,82905,529,91046,0
47,Non-Binary,Hispanic,135718,821,76894,1
